"id";"sexe";"cellId";"col";"row";"nb_dans_cellule";"lon_grille";"lat_grille";"lon_reel";"lat_reel";"reaffecte";"deplacement_m";"issu_zone_non";"point_reel_hors_commune"
"652";"Masculin";"120";"5";"6";"4";"-4.11795896635562";"5.32656790114726";"-4.1160537";"5.3265159";"0";"211";"0";"0"
"664";"Masculin";"120";"5";"6";"4";"-4.11570303222307";"5.32657199336933";"-4.11787";"5.3259283";"0";"250";"0";"0"
"651";"Feminin";"120";"5";"6";"4";"-4.11795488042245";"5.32430670173039";"-4.1146043";"5.3276545";"0";"524";"0";"0"
"663";"Feminin";"120";"5";"6";"4";"-4.11569895453075";"5.3243107922056";"-4.1186367";"5.32507";"0";"336";"0";"0"
"344";"Masculin";"293";"13";"1";"2";"-4.08177726111701";"5.3028895728808";"-4.0826046";"5.3018381";"0";"148";"0";"0"
"343";"Feminin";"293";"13";"1";"2";"-4.07961162068576";"5.30289335746862";"-4.0812426";"5.303273";"0";"186";"0";"0"
"637";"Masculin";"221";"10";"10";"4";"-4.09543163668872";"5.34469817931331";"-4.089231";"5.3397695";"1";"877";"0";"0"
"630";"Masculin";"221";"10";"10";"4";"-4.09317561909648";"5.34470220260794";"-4.091245";"5.3472735";"1";"356";"0";"0"
"665";"Feminin";"221";"10";"10";"4";"-4.09542761937028";"5.34243696393801";"-4.0879698";"5.3411859";"1";"838";"0";"0"
"132";"Feminin";"221";"10";"10";"4";"-4.0931716100476";"5.34244098552097";"-4.1022774";"5.3468987";"1";"1123";"0";"0"
"521";"Masculin";"335";"15";"1";"2";"-4.07275374900401";"5.30290529198634";"-4.0738751";"5.3076671";"1";"541";"0";"0"
"517";"Feminin";"335";"15";"1";"2";"-4.07058810206858";"5.30290904498855";"-4.0702126";"5.3067872";"1";"431";"0";"0"
"75";"Masculin";"158";"7";"10";"4";"-4.10896770590261";"5.34467386544809";"-4.1056801";"5.3455585";"0";"377";"0";"0"
"582";"Masculin";"158";"7";"10";"4";"-4.10671169871085";"5.34467793848469";"-4.1052868";"5.3414833";"1";"387";"0";"0"
"77";"Feminin";"158";"7";"10";"4";"-4.10896363896747";"5.34241266041691";"-4.1060666";"5.3450251";"0";"432";"0";"0"
"93";"Feminin";"158";"7";"10";"4";"-4.10670764004508";"5.34241673172067";"-4.1043983";"5.3426859";"1";"258";"0";"0"
